MUNICIPIO_CLEAN,UF,MUNICIPIO,QUANTIDADE_EMPREGOS,QUANTIDADE_ ESTABELECIMENTOS,QUANTIDADE_VISITAS_ESTIMADAS_ NACIONAL,QUANTIDADE_VISITAS_ESTIMADAS_ INTERNACIONAL,ARRECADACAO,NUM_UCS,BIOMAS_UCS,TOTAL_VISITANTES,Municipio_Clean,NUM_FOCOS,INTENSIDADE_MEDIA,INTENSIDADE_TOTAL,ANO_MIN,ANO_MAX,ESTADO_QUEIMADA,BIOMAS_QUEIMADA,CATEGORIA_UCS,LATITUDE_MUNICIPIO,LONGITUDE_MUNICIPIO,FOCOS_RAIO_100KM,DISTANCIA_MEDIA_FOCOS_KM,DISTANCIA_MIN_FOCO_KM,MUNICIPIOS_PROXIMOS_COM_FOCOS,BIOMAS_PROXIMOS,Município_Clean_x,NUM_UCS_PROTECAO_INTEGRAL,NUM_UCS_USO_SUSTENTAVEL,Município_Clean_y,CATEGORIA_UC_DETALHADA,PERC_UCS_PROTECAO_INTEGRAL,PERC_UCS_USO_SUSTENTAVEL,TEM_UC_PROTECAO_INTEGRAL,TEM_UC_USO_SUSTENTAVEL,CATEGORIA_PROXIMIDADE
abelardo luz,SC,Abelardo Luz,14,4,10515,0,0,1,Mata Atlântica,10515,abelardo luz,80.0,22.0,1760.3,2015.0,2019.0,SANTA CATARINA,Mata Atlântica,1 UC,-26.51,-52.108,80.0,55.093087217103744,25.806470758125975,4.0,Mata Atlântica,abelardo luz,1,0,abelardo luz,Estação Ecológica,100.0,0.0,1,0,Moderado
abreu e lima,PE,Abreu e Lima,13,1,3756,0,0,2,Mata Atlântica,3756,abreu e lima,1.0,36.1,36.1,2015.0,2015.0,PERNAMBUCO,Mata Atlântica,2 UCs,,,,,,,,abreu e lima,1,1,abreu e lima,"Área de Proteção Ambiental, Refúgio de Vida Silvestre",50.0,50.0,1,1,Muito_Distante
acailandia,MA,Açailândia,90,15,34643,765,543567,2,Amazônia,35408,acailandia,767.0,51.73,39678.6,2015.0,2019.0,MARANHÃO,Amazônia,2 UCs,-4.709090909090909,-47.20545454545454,80.0,84.70414080965675,71.259061969342,3.0,"Cerrado, Amazônia",acailandia,0,2,acailandia,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Distante
acari,RN,Acari,4,2,2090,0,0,1,Caatinga,2090,acari,3.0,33.87,101.6,2017.0,2019.0,RIO GRANDE DO NORTE,Caatinga,1 UC,,,,,,,,acari,0,1,acari,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
acu,RN,Açu,45,10,4430,513,218959,1,Caatinga,4943,acu,23.0,28.04,645.0,2015.0,2019.0,RIO GRANDE DO NORTE,Caatinga,1 UC,,,,,,,,acu,0,1,acu,Floresta,0.0,100.0,0,1,Muito_Distante
acucena,MG,Açucena,6,1,31978,0,0,1,Mata Atlântica,31978,acucena,82.0,55.88,4582.1,2015.0,2019.0,MINAS GERAIS,Mata Atlântica,1 UC,,,,,,,,acucena,0,1,acucena,Parque,0.0,100.0,0,1,Muito_Distante
afogados da ingazeira,PE,Afogados da Ingazeira,43,5,54616,125,0,1,Caatinga,54741,afogados da ingazeira,16.0,33.29,532.6,2015.0,2018.0,PERNAMBUCO,Caatinga,1 UC,,,,,,,,afogados da ingazeira,1,0,afogados da ingazeira,Refúgio de Vida Silvestre,100.0,0.0,1,0,Muito_Distante
afonso claudio,ES,Afonso Cláudio,12,4,13186,111,0,13,Mata Atlântica,13297,afonso claudio,47.0,24.82,1166.4,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,6+ UCs,-20.041,-41.228,40.0,88.98704595962539,84.21671204783325,2.0,Mata Atlântica,afonso claudio,1,12,afonso claudio,"Reserva Particular do Patrimônio Natural, Monumento Natural",7.7,92.3,1,1,Distante
agua boa,MG,Água Boa,2,1,2624,0,0,1,Cerrado,2624,agua boa,843.0,44.63,37622.5,2015.0,2019.0,MATO GROSSO,"Cerrado, Mata Atlântica",1 UC,-15.534600000000001,-48.55586666666667,220.0,65.29149910638108,18.614818449275578,8.0,Cerrado,agua boa,0,1,agua boa,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Próximo
aguas da prata,SP,Águas da Prata,11,3,0,1125,0,1,Mata Atlântica,1125,aguas da prata,7.0,16.84,117.9,2015.0,2019.0,SÃO PAULO,Mata Atlântica,1 UC,,,,,,,,aguas da prata,0,1,aguas da prata,Parque,0.0,100.0,0,1,Muito_Distante
aguas de santa barbara,SP,Águas de Santa Bárbara,34,3,36116,120,0,1,Cerrado,36236,aguas de santa barbara,37.0,85.45,3161.8,2015.0,2019.0,SÃO PAULO,Cerrado,1 UC,,,,,,,,aguas de santa barbara,1,0,aguas de santa barbara,Estação Ecológica,100.0,0.0,1,0,Muito_Distante
aiuruoca,MG,Aiuruoca,8,4,21062,226,0,11,Mata Atlântica,21288,aiuruoca,34.0,25.48,866.3,2016.0,2019.0,MINAS GERAIS,Mata Atlântica,6+ UCs,,,,,,,,aiuruoca,0,11,aiuruoca,"Área de Proteção Ambiental, Reserva Particular do Patrimônio Natural, Parque",0.0,100.0,0,1,Muito_Distante
alcobaca,BA,Alcobaça,24,12,91095,267,0,3,Área Marinha,91362,alcobaca,177.0,41.3,7310.4,2015.0,2019.0,BAHIA,Mata Atlântica,3-5 UCs,-17.4662,-39.37179999999999,40.0,77.26971768888778,67.36229207663774,2.0,Mata Atlântica,alcobaca,0,3,alcobaca,"Parque, Reserva Extrativista, Área de Proteção Ambiental",0.0,100.0,0,1,Distante
alegre,ES,Alegre,15,5,59601,0,0,2,Mata Atlântica,59601,alegre,16.0,41.68,666.8,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,2 UCs,,,,,,,,alegre,0,2,alegre,"Parque, Área de Relevante Interesse Ecológico",0.0,100.0,0,1,Muito_Distante
alegrete,RS,Alegrete,57,8,93745,1421,602859,2,Pampa,95166,alegrete,233.0,18.15,4229.6,2015.0,2019.0,RIO GRANDE DO SUL,Pampa,2 UCs,,,,,,,,alegrete,1,1,alegrete,"Área de Proteção Ambiental, Reserva Biológica",50.0,50.0,1,1,Muito_Distante
alexania,GO,Alexânia,48,8,9550,483,163254,1,Cerrado,10033,alexania,36.0,48.52,1746.6,2015.0,2019.0,GOIÁS,Cerrado,1 UC,-16.124,-48.608,100.0,67.72889630879041,31.56581625846046,4.0,Cerrado,alexania,0,1,alexania,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Moderado
alfenas,MG,Alfenas,137,15,42550,943,681136,1,Mata Atlântica,43493,alfenas,45.0,19.43,874.4,2015.0,2019.0,MINAS GERAIS,Mata Atlântica,1 UC,-21.304,-45.946666666666665,40.0,59.735187005434284,43.494997149353715,2.0,"Mata Atlântica, Cerrado",alfenas,0,1,alfenas,Área de Proteção Ambiental,0.0,100.0,0,1,Moderado
alfredo chaves,ES,Alfredo Chaves,4,2,10907,0,0,2,Mata Atlântica,10907,alfredo chaves,10.0,13.38,133.8,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,2 UCs,,,,,,,,alfredo chaves,0,2,alfredo chaves,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
almas,TO,Almas,2,2,1494,0,0,2,Cerrado,1494,almas,1205.0,57.16,68875.6,2015.0,2019.0,TOCANTINS,Cerrado,2 UCs,-11.431115384615385,-47.25323076923077,200.0,58.15483528462694,17.451009299262253,8.0,Cerrado,almas,1,1,almas,"Estação Ecológica, Reserva Particular do Patrimônio Natural",50.0,50.0,1,1,Próximo
alta floresta,MT,Alta Floresta,130,18,37445,1034,844186,2,Amazônia,38479,alta floresta,538.0,43.18,23230.5,2015.0,2019.0,MATO GROSSO,Amazônia,2 UCs,-10.15925,-56.277,40.0,82.349863192095,78.78137878742835,2.0,Amazônia,alta floresta,0,2,alta floresta,"Reserva Particular do Patrimônio Natural, Parque",0.0,100.0,0,1,Distante
altamira,PA,Altamira,165,30,20369,1940,1274213,11,Amazônia,22309,altamira,15095.0,78.01,1177528.1,2015.0,2019.0,PARÁ,Amazônia,6+ UCs,-6.882578488372093,-54.29924418604651,60.0,82.3843203714259,76.13710500745081,1.0,Amazônia,altamira,2,9,altamira,"Estação Ecológica, Floresta, Parque, Reserva Biológica, Reserva Extrativista, Área de Proteção Ambiental",18.2,81.8,1,1,Distante
alto araguaia,MT,Alto Araguaia,24,4,24117,111,0,3,Cerrado,24228,alto araguaia,511.0,62.24,31802.8,2015.0,2019.0,MATO GROSSO,Cerrado,3-5 UCs,-17.375300000000003,-53.4168,60.0,54.55060125333775,12.701764478537775,2.0,Cerrado,alto araguaia,0,3,alto araguaia,Área de Proteção Ambiental,0.0,100.0,0,1,Próximo
alto caparao,MG,Alto Caparaó,11,4,0,388,0,1,Mata Atlântica,388,alto caparao,5.0,47.86,239.3,2016.0,2019.0,MINAS GERAIS,Mata Atlântica,1 UC,,,,,,,,alto caparao,0,1,alto caparao,Parque,0.0,100.0,0,1,Muito_Distante
alto paraiso de goias,GO,Alto Paraíso de Goiás,234,36,42941,5534,2106191,14,Cerrado,48475,alto paraiso de goias,400.0,50.79,20314.1,2015.0,2019.0,GOIÁS,Cerrado,6+ UCs,-14.280785714285715,-47.55442857142857,100.0,43.16234676536244,9.443340544845192,4.0,Cerrado,alto paraiso de goias,0,14,alto paraiso de goias,"Parque, Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental, Área de Relevante Interesse Ecológico",0.0,100.0,0,1,Muito_Próximo
alto parnaiba,MA,Alto Parnaíba,4,1,0,186,0,2,Cerrado,186,alto parnaiba,3788.0,65.42,247819.5,2015.0,2019.0,MARANHÃO,Cerrado,2 UCs,-9.6099375,-46.210275,200.0,48.400797563692585,8.091085365913434,3.0,Cerrado,alto parnaiba,0,2,alto parnaiba,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Muito_Próximo
altonia,PR,Altônia,7,2,0,111,0,2,Mata Atlântica,111,altonia,55.0,65.6,3607.9,2015.0,2019.0,PARANÁ,Mata Atlântica,2 UCs,-23.866,-54.027,60.0,59.675178568748855,26.92933120095821,3.0,Mata Atlântica,altonia,0,2,altonia,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Moderado
amontada,CE,Amontada,22,9,19755,3485,138226,1,Caatinga,23240,amontada,232.0,46.51,10790.7,2015.0,2019.0,CEARÁ,Caatinga,1 UC,-3.0911666666666666,-39.72866666666667,80.0,56.37866368077469,20.286385119035707,4.0,Caatinga,amontada,0,1,amontada,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Próximo
amparo,SP,Amparo,120,9,19885,2085,1132273,3,Mata Atlântica,21970,amparo,56.0,36.11,2022.4,2015.0,2019.0,SÃO PAULO,"Mata Atlântica, Caatinga",3-5 UCs,-22.633666666666667,-46.812333333333335,20.0,75.56293896384848,75.56293896384848,1.0,Mata Atlântica,amparo,0,3,amparo,"Área de Proteção Ambiental, Reserva Particular do Patrimônio Natural",0.0,100.0,0,1,Distante
anapolis,GO,Anápolis,255,25,162029,8401,3233772,1,Cerrado,170430,anapolis,78.0,44.58,3476.9,2015.0,2019.0,GOIÁS,Cerrado,1 UC,-16.394,-48.852,40.0,66.19035978795043,65.07789545775105,2.0,Cerrado,anapolis,0,1,anapolis,Área de Proteção Ambiental,0.0,100.0,0,1,Distante
anchieta,ES,Anchieta,112,21,71353,448,876168,6,"Mata Atlântica, Área Marinha",71801,anchieta,25.0,13.76,344.0,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,6+ UCs,-26.484,-53.252,40.0,63.51667853021523,50.40599772963777,2.0,Mata Atlântica,anchieta,0,3,anchieta,"Reserva de Desenvolvimento Sustentável, Área de Proteção Ambiental",0.0,100.0,0,1,Distante
anchieta,ES,Anchieta,112,21,71353,448,876168,6,"Mata Atlântica, Área Marinha",71801,anchieta,25.0,13.76,344.0,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,6+ UCs,-26.484,-53.252,40.0,63.51667853021523,50.40599772963777,2.0,Mata Atlântica,anchieta,0,3,anchieta,"Reserva de Desenvolvimento Sustentável, Área de Proteção Ambiental",0.0,100.0,0,1,Distante
anchieta,ES,Anchieta,112,21,71353,448,876168,6,"Mata Atlântica, Área Marinha",71801,anchieta,25.0,13.76,344.0,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,6+ UCs,-26.484,-53.252,40.0,63.51667853021523,50.40599772963777,2.0,Mata Atlântica,anchieta,0,3,anchieta,"Reserva de Desenvolvimento Sustentável, Área de Proteção Ambiental",0.0,100.0,0,1,Distante
anchieta,ES,Anchieta,112,21,71353,448,876168,6,"Mata Atlântica, Área Marinha",71801,anchieta,25.0,13.76,344.0,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,6+ UCs,-26.484,-53.252,40.0,63.51667853021523,50.40599772963777,2.0,Mata Atlântica,anchieta,0,3,anchieta,"Reserva de Desenvolvimento Sustentável, Área de Proteção Ambiental",0.0,100.0,0,1,Distante
andarai,BA,Andaraí,19,3,4326,1691,0,2,Caatinga,6017,andarai,50.0,40.91,2045.7,2015.0,2019.0,BAHIA,Caatinga,2 UCs,,,,,,,,andarai,0,2,andarai,Parque,0.0,100.0,0,1,Muito_Distante
andradina,SP,Andradina,62,8,49044,75,902620,1,Mata Atlântica,49119,andradina,60.0,134.81,8088.8,2015.0,2019.0,SÃO PAULO,Mata Atlântica,1 UC,-20.909,-51.361,20.0,18.261847735874614,18.261847735874614,1.0,Mata Atlântica,andradina,1,0,andradina,Reserva Biológica,100.0,0.0,1,0,Próximo
angra dos reis,RJ,Angra dos Reis,612,89,841279,157173,13815002,13,"Área Marinha, Mata Atlântica",998452,angra dos reis,1.0,16.7,16.7,2018.0,2018.0,RIO DE JANEIRO,Mata Atlântica,6+ UCs,,,,,,,,angra dos reis,2,11,angra dos reis,"Estação Ecológica, Parque, Reserva Particular do Patrimônio Natural, Reserva de Desenvolvimento Sustentável, Reserva Biológica, Área de Proteção Ambiental, Área de Relevante Interesse Ecológico",15.4,84.6,1,1,Muito_Distante
antonina,PR,Antonina,27,4,23350,791,0,4,Mata Atlântica,24141,,0.0,0.0,0.0,,,,,3-5 UCs,,,,,,,,antonina,1,3,antonina,"Área de Proteção Ambiental, Reserva Biológica, Parque",25.0,75.0,1,1,Muito_Distante
aparecida,SP,Aparecida,1451,175,1208586,4053,11472737,1,Mata Atlântica,1212639,aparecida,75.0,44.66,3349.2,2015.0,2019.0,PARAÍBA,"Caatinga, Mata Atlântica",1 UC,-6.75675,-38.0985,40.0,72.8586887823152,65.95635780457634,2.0,Caatinga,aparecida,0,1,aparecida,Área de Proteção Ambiental,0.0,100.0,0,1,Distante
aparecida do taboado,MS,Aparecida do Taboado,29,7,11328,75,0,1,Mata Atlântica,11403,aparecida do taboado,72.0,70.2,5054.6,2015.0,2019.0,MATO GROSSO DO SUL,"Mata Atlântica, Cerrado",1 UC,-20.078200000000002,-51.428399999999996,20.0,94.08945852222465,94.08945852222465,1.0,Mata Atlântica,aparecida do taboado,0,1,aparecida do taboado,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Distante
aperibe,RJ,Aperibé,19,2,7494,0,0,2,Mata Atlântica,7494,aperibe,2.0,27.8,55.6,2017.0,2019.0,RIO DE JANEIRO,Mata Atlântica,2 UCs,,,,,,,,aperibe,1,1,aperibe,"Monumento Natural, Área de Proteção Ambiental",50.0,50.0,1,1,Muito_Distante
apiacas,MT,Apiacás,14,3,9101,0,0,3,Amazônia,9101,apiacas,1806.0,68.71,124096.5,2015.0,2019.0,MATO GROSSO,Amazônia,3-5 UCs,-9.350914893617022,-57.429148936170215,160.0,48.09042187204747,14.692704351494157,3.0,Amazônia,apiacas,0,3,apiacas,"Parque, Reserva Particular do Patrimônio Natural",0.0,100.0,0,1,Próximo
apiai,SP,Apiaí,21,10,0,223,0,2,Mata Atlântica,223,apiai,34.0,15.69,533.5,2015.0,2019.0,SÃO PAULO,Mata Atlântica,2 UCs,-24.418,-48.826,60.0,35.04933690963633,0.0,3.0,Mata Atlântica,apiai,0,2,apiai,Parque,0.0,100.0,0,1,
apiuna,SC,Apiúna,29,3,17011,0,0,2,Mata Atlântica,17011,apiuna,22.0,15.96,351.2,2015.0,2019.0,SANTA CATARINA,Mata Atlântica,2 UCs,,,,,,,,apiuna,0,2,apiuna,"Floresta, Parque",0.0,100.0,0,1,Muito_Distante
aquidauana,MS,Aquidauana,34,14,72914,1021,223852,5,"Pantanal, Cerrado",73935,aquidauana,2498.0,63.99,159844.3,2015.0,2019.0,MATO GROSSO DO SUL,"Pantanal, Cerrado",3-5 UCs,-19.735964285714285,-56.03573214285715,40.0,88.9086650168544,81.41160017127214,2.0,"Cerrado, Pantanal",aquidauana,0,5,aquidauana,"Reserva Particular do Patrimônio Natural, Parque, Área de Proteção Ambiental",0.0,100.0,0,1,Distante
aquiraz,CE,Aquiraz,1122,26,111469,3191,3864441,2,Caatinga,114660,aquiraz,92.0,26.32,2421.2,2015.0,2019.0,CEARÁ,Caatinga,2 UCs,-3.9835,-38.398500000000006,40.0,51.9901392529392,48.24191038102021,2.0,Caatinga,aquiraz,0,2,aquiraz,"Reserva Extrativista, Área de Proteção Ambiental",0.0,100.0,0,1,Moderado
aracaju,SE,Aracaju,1888,100,1112959,16161,14947276,2,Mata Atlântica,1129120,,0.0,0.0,0.0,,,,,2 UCs,,,,,,,,aracaju,0,2,aracaju,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Muito_Distante
aracati,CE,Aracati,275,53,203363,12909,1734072,2,Caatinga,216272,aracati,102.0,48.98,4996.1,2015.0,2019.0,CEARÁ,Caatinga,2 UCs,,,,,,,,aracati,0,2,aracati,"Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental",0.0,100.0,0,1,Muito_Distante
aracoiaba da serra,SP,Araçoiaba da Serra,14,3,4510,149,0,3,Mata Atlântica,4659,aracoiaba da serra,13.0,20.15,262.0,2016.0,2019.0,SÃO PAULO,Mata Atlântica,3-5 UCs,,,,,,,,aracoiaba da serra,0,3,aracoiaba da serra,"Floresta, Reserva Particular do Patrimônio Natural",0.0,100.0,0,1,Muito_Distante
aracruz,ES,Aracruz,164,21,21961,810,856619,8,"Mata Atlântica, Área Marinha",22771,aracruz,268.0,42.19,11308.0,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,6+ UCs,-19.777,-40.13366666666666,60.0,74.39087288429693,54.33542308303028,3.0,Mata Atlântica,aracruz,2,6,aracruz,"Reserva Biológica, Refúgio de Vida Silvestre, Área de Proteção Ambiental, Reserva Particular do Patrimônio Natural, Parque, Reserva de Desenvolvimento Sustentável, Área de Relevante Interesse Ecológico",25.0,75.0,1,1,Distante
araguacema,TO,Araguacema,6,3,10808,0,0,1,Cerrado,10808,araguacema,707.0,57.18,40425.2,2015.0,2019.0,TOCANTINS,Cerrado,1 UC,-8.94705,-49.4941,160.0,60.754529386196396,21.878625718658636,5.0,"Cerrado, Amazônia",araguacema,0,1,araguacema,Área de Proteção Ambiental,0.0,100.0,0,1,Próximo
araguaina,TO,Araguaína,181,30,235167,1837,1640138,1,Cerrado,237004,araguaina,548.0,60.52,33165.6,2015.0,2019.0,TOCANTINS,"Cerrado, Amazônia",1 UC,-7.2809,-48.47709999999999,120.0,74.45330761131812,42.28406775201561,5.0,"Cerrado, Amazônia",araguaina,0,1,araguaina,Área de Proteção Ambiental,0.0,100.0,0,1,Moderado
arapoti,PR,Arapoti,25,4,30721,291,0,2,Mata Atlântica,31012,arapoti,22.0,12.23,269.1,2015.0,2019.0,PARANÁ,"Mata Atlântica, Cerrado",2 UCs,,,,,,,,arapoti,0,2,arapoti,"Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental",0.0,100.0,0,1,Muito_Distante
araucaria,PR,Araucária,66,10,6648,0,799346,3,Mata Atlântica,6648,araucaria,14.0,8.98,125.7,2016.0,2019.0,PARANÁ,Mata Atlântica,3-5 UCs,,,,,,,,araucaria,0,3,araucaria,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Muito_Distante
araxa,MG,Araxá,489,20,44499,1606,5861173,1,Cerrado,46105,araxa,92.0,52.66,4844.6,2015.0,2019.0,MINAS GERAIS,Cerrado,1 UC,-19.695500000000003,-46.964,20.0,46.49055877888821,46.49055877888821,1.0,Cerrado,araxa,0,1,araxa,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Moderado
arcos,MG,Arcos,64,7,7494,130,441259,1,Cerrado,7624,arcos,38.0,36.89,1402.0,2015.0,2019.0,MINAS GERAIS,"Cerrado, Mata Atlântica",1 UC,,,,,,,,arcos,1,0,arcos,Estação Ecológica,100.0,0.0,1,0,Muito_Distante
areia,PB,Areia,19,2,14719,0,0,1,Mata Atlântica,14719,areia,13.0,56.55,735.2,2016.0,2018.0,PARAÍBA,Caatinga,1 UC,-6.929,-35.713,40.0,84.93906140653237,72.28515168627557,2.0,Mata Atlântica,areia,0,1,areia,Parque,0.0,100.0,0,1,Distante
areia branca,RN,Areia Branca,35,6,53377,394,0,3,"Mata Atlântica, Caatinga",53771,areia branca,30.0,46.94,1408.2,2015.0,2019.0,SERGIPE,"Mata Atlântica, Caatinga",3-5 UCs,,,,,,,,areia branca,0,3,areia branca,"Parque, Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental",0.0,100.0,0,1,Muito_Distante
areias,SP,Areias,1,1,0,112,0,1,Mata Atlântica,112,areias,41.0,16.93,694.3,2015.0,2019.0,SÃO PAULO,Mata Atlântica,1 UC,-22.794,-44.737,40.0,77.93497442954985,61.111733652867386,2.0,Mata Atlântica,areias,0,1,areias,Parque,0.0,100.0,0,1,Distante
arinos,MG,Arinos,7,2,47140,102,0,3,Cerrado,47242,arinos,478.0,65.94,31521.2,2015.0,2019.0,MINAS GERAIS,Cerrado,3-5 UCs,-15.711599999999999,-45.9828,20.0,22.738979745057613,22.738979745057613,1.0,Cerrado,arinos,0,3,arinos,"Parque, Reserva Particular do Patrimônio Natural",0.0,100.0,0,1,Próximo
aripuana,MT,Aripuanã,14,5,24248,318,0,2,Amazônia,24566,aripuana,4066.0,78.43,318897.5,2015.0,2019.0,MATO GROSSO,Amazônia,2 UCs,-10.036341772151898,-59.6886329113924,220.0,75.183833453053,53.78849689112232,3.0,Amazônia,aripuana,1,1,aripuana,"Reserva Extrativista, Estação Ecológica",50.0,50.0,1,1,Distante
ariquemes,RO,Ariquemes,135,20,3371,1326,739140,2,Amazônia,4697,ariquemes,997.0,48.97,48822.1,2015.0,2019.0,RONDÔNIA,Amazônia,2 UCs,-9.94088,-63.115959999999994,200.0,64.87302878711937,43.47636757797376,7.0,Amazônia,ariquemes,0,2,ariquemes,Parque,0.0,100.0,0,1,Moderado
armacao dos buzios,RJ,Armação dos Búzios,2374,209,671819,320320,32816709,3,"Área Marinha, Mata Atlântica",992139,armacao dos buzios,5.0,35.68,178.4,2016.0,2017.0,RIO DE JANEIRO,Mata Atlântica,3-5 UCs,,,,,,,,armacao dos buzios,0,3,armacao dos buzios,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Muito_Distante
arraial do cabo,RJ,Arraial do Cabo,368,46,260542,40933,4168108,4,"Área Marinha, Mata Atlântica",301475,arraial do cabo,4.0,8.57,34.3,2017.0,2019.0,RIO DE JANEIRO,Mata Atlântica,3-5 UCs,,,,,,,,arraial do cabo,0,4,arraial do cabo,"Reserva Extrativista, Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Muito_Distante
aruana,GO,Aruanã,4,3,102682,578,0,2,Cerrado,103260,aruana,135.0,33.48,4520.1,2015.0,2019.0,GOIÁS,Cerrado,2 UCs,-14.511500000000002,-50.961,60.0,90.78232877728662,80.82634388088648,2.0,Cerrado,aruana,0,2,aruana,"Reserva Extrativista, Reserva Particular do Patrimônio Natural",0.0,100.0,0,1,Distante
aruja,SP,Arujá,17,5,51174,851,0,1,Mata Atlântica,52025,aruja,13.0,8.23,107.0,2015.0,2018.0,SÃO PAULO,Mata Atlântica,1 UC,-23.38,-46.29,60.0,55.14250464897213,37.2027722188394,3.0,Mata Atlântica,aruja,0,1,aruja,Parque,0.0,100.0,0,1,Moderado
assis brasil,AC,Assis Brasil,1,1,27381,0,0,2,Amazônia,27381,assis brasil,989.0,46.14,45632.4,2015.0,2019.0,ACRE,Amazônia,2 UCs,-10.814444444444444,-69.569,120.0,54.391634092351126,10.219419873197609,4.0,Amazônia,assis brasil,1,1,assis brasil,"Estação Ecológica, Reserva Extrativista",50.0,50.0,1,1,Próximo
atibaia,SP,Atibaia,1548,26,265670,5340,12170637,8,Mata Atlântica,271010,atibaia,81.0,18.82,1524.2,2015.0,2019.0,SÃO PAULO,Mata Atlântica,6+ UCs,-23.1825,-46.631,60.0,69.54093489502839,49.91967347582685,3.0,Mata Atlântica,atibaia,1,7,atibaia,"Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental, Parque, Monumento Natural",12.5,87.5,1,1,Moderado
avare,SP,Avaré,241,17,82765,985,2232927,2,Cerrado,83750,avare,37.0,40.3,1491.0,2015.0,2019.0,SÃO PAULO,Cerrado,2 UCs,,,,,,,,avare,1,1,avare,"Área de Proteção Ambiental, Estação Ecológica",50.0,50.0,1,1,Muito_Distante
bacabal,MA,Bacabal,71,8,67808,370,0,1,Cerrado,68178,bacabal,281.0,44.57,12524.1,2015.0,2019.0,MARANHÃO,"Cerrado, Amazônia",1 UC,-4.097166666666666,-44.629,120.0,51.41726366663167,12.062519180901804,6.0,"Cerrado, Amazônia",bacabal,0,1,bacabal,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Próximo
baependi,MG,Baependi,28,7,10747,140,0,4,Mata Atlântica,10887,baependi,40.0,26.85,1073.9,2015.0,2019.0,MINAS GERAIS,Mata Atlântica,3-5 UCs,-22.03125,-44.78425,20.0,12.721372450062214,12.721372450062214,1.0,Mata Atlântica,baependi,0,4,baependi,"Área de Proteção Ambiental, Parque, Reserva Particular do Patrimônio Natural",0.0,100.0,0,1,Próximo
bage,RS,Bagé,124,12,274902,1639,1264817,1,Pampa,276541,bage,66.0,18.15,1197.8,2015.0,2019.0,RIO GRANDE DO SUL,Pampa,1 UC,,,,,,,,bage,0,1,bage,Parque,0.0,100.0,0,1,Muito_Distante
baia da traicao,PB,Baía da Traição,11,5,12987,465,0,1,Mata Atlântica,13452,baia da traicao,11.0,34.87,383.6,2015.0,2019.0,PARAÍBA,Mata Atlântica,1 UC,,,,,,,,baia da traicao,0,1,baia da traicao,Área de Proteção Ambiental,0.0,100.0,0,1,Muito_Distante
baia formosa,RN,Baía Formosa,46,9,74326,533,276508,2,Mata Atlântica,74859,baia formosa,10.0,137.04,1370.4,2016.0,2019.0,RIO GRANDE DO NORTE,Mata Atlântica,2 UCs,-6.454,-35.012,20.0,91.85216164517476,91.85216164517476,1.0,Mata Atlântica,baia formosa,0,2,baia formosa,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Distante
baliza,GO,Baliza,1,1,9134,0,0,1,Cerrado,9134,baliza,262.0,55.96,14662.3,2015.0,2019.0,GOIÁS,Cerrado,1 UC,-16.362222222222222,-52.42155555555556,40.0,51.60691678717693,17.487875981651694,2.0,Cerrado,baliza,0,1,baliza,Área de Proteção Ambiental,0.0,100.0,0,1,Próximo
balneario arroio do silva,SC,Balneário Arroio do Silva,9,2,16278,126,0,1,Mata Atlântica,16404,balneario arroio do silva,3.0,29.53,88.6,2016.0,2018.0,SANTA CATARINA,Mata Atlântica,1 UC,,,,,,,,balneario arroio do silva,0,1,balneario arroio do silva,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
