MUNICIPIO_CLEAN,UF,MUNICIPIO,QUANTIDADE_EMPREGOS,QUANTIDADE_ ESTABELECIMENTOS,QUANTIDADE_VISITAS_ESTIMADAS_ NACIONAL,QUANTIDADE_VISITAS_ESTIMADAS_ INTERNACIONAL,ARRECADACAO,NUM_UCS,BIOMAS_UCS,TOTAL_VISITANTES,Municipio_Clean,NUM_FOCOS,INTENSIDADE_MEDIA,INTENSIDADE_TOTAL,ANO_MIN,ANO_MAX,ESTADO_QUEIMADA,BIOMAS_QUEIMADA,CATEGORIA_UCS,LATITUDE_MUNICIPIO,LONGITUDE_MUNICIPIO,FOCOS_RAIO_100KM,DISTANCIA_MEDIA_FOCOS_KM,DISTANCIA_MIN_FOCO_KM,MUNICIPIOS_PROXIMOS_COM_FOCOS,BIOMAS_PROXIMOS,Município_Clean_x,NUM_UCS_PROTECAO_INTEGRAL,NUM_UCS_USO_SUSTENTAVEL,Município_Clean_y,CATEGORIA_UC_DETALHADA,PERC_UCS_PROTECAO_INTEGRAL,PERC_UCS_USO_SUSTENTAVEL,TEM_UC_PROTECAO_INTEGRAL,TEM_UC_USO_SUSTENTAVEL,CATEGORIA_PROXIMIDADE
entre rios,BA,Entre Rios,68,12,80148,209,670559,2,Mata Atlântica,80357,entre rios,49.0,22.81,1117.5,2015.0,2019.0,BAHIA,Mata Atlântica,2 UCs,,,,,,,,entre rios,0,2,entre rios,"Área de Proteção Ambiental, Reserva Particular do Patrimônio Natural",0.0,100.0,0,1,Muito_Distante
epitaciolandia,AC,Epitaciolândia,31,6,4785,0,0,2,Amazônia,4785,epitaciolandia,766.0,36.48,27942.3,2015.0,2019.0,ACRE,Amazônia,2 UCs,-10.8811,-68.57169999999999,120.0,81.023561738718,49.66095585385943,3.0,Amazônia,epitaciolandia,0,2,epitaciolandia,"Área de Relevante Interesse Ecológico, Reserva Extrativista",0.0,100.0,0,1,Moderado
espera feliz,MG,Espera Feliz,15,4,29043,400,0,5,Mata Atlântica,29443,espera feliz,18.0,30.9,556.2,2015.0,2019.0,MINAS GERAIS,Mata Atlântica,3-5 UCs,,,,,,,,espera feliz,0,5,espera feliz,"Parque, Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental",0.0,100.0,0,1,Muito_Distante
esplanada,BA,Esplanada,60,9,59828,66,315843,4,Mata Atlântica,59894,esplanada,67.0,39.77,2664.8,2015.0,2019.0,BAHIA,"Mata Atlântica, Caatinga",3-5 UCs,-12.0125,-37.900000000000006,20.0,83.46916392473108,83.46916392473108,1.0,Mata Atlântica,esplanada,0,4,esplanada,"Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental",0.0,100.0,0,1,Distante
estancia,SE,Estância,39,10,69021,0,145816,1,Mata Atlântica,69021,estancia,24.0,51.98,1247.6,2015.0,2019.0,SERGIPE,Mata Atlântica,1 UC,-11.181000000000001,-37.3635,20.0,52.117138363096295,52.117138363096295,1.0,Caatinga,estancia,0,1,estancia,Área de Proteção Ambiental,0.0,100.0,0,1,Distante
estiva,MG,Estiva,6,1,6316,0,0,1,Mata Atlântica,6316,estiva,1.0,13.2,13.2,2018.0,2018.0,MINAS GERAIS,Mata Atlântica,1 UC,,,,,,,,estiva,0,1,estiva,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
estreito,MA,Estreito,28,6,4118,0,0,1,Cerrado,4118,estreito,429.0,43.57,18693.3,2015.0,2019.0,MARANHÃO,Cerrado,1 UC,-6.762857142857143,-47.254714285714286,220.0,61.055091991186764,24.439817759988244,9.0,Cerrado,estreito,0,1,estreito,Parque,0.0,100.0,0,1,Próximo
eusebio,CE,Eusébio,14,1,65919,134,0,1,Caatinga,66053,eusebio,3.0,13.07,39.2,2015.0,2016.0,CEARÁ,Caatinga,1 UC,,,,,,,,eusebio,0,1,eusebio,Área de Proteção Ambiental,0.0,100.0,0,1,Muito_Distante
extrema,MG,Extrema,157,13,42957,896,858326,3,Mata Atlântica,43853,extrema,7.0,13.0,91.0,2016.0,2019.0,MINAS GERAIS,Mata Atlântica,3-5 UCs,,,,,,,,extrema,0,3,extrema,"Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental",0.0,100.0,0,1,Muito_Distante
extremoz,RN,Extremoz,4,3,25072,753,0,2,Mata Atlântica,25825,extremoz,3.0,48.47,145.4,2016.0,2019.0,RIO GRANDE DO NORTE,Caatinga,2 UCs,,,,,,,,extremoz,0,2,extremoz,"Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental",0.0,100.0,0,1,Muito_Distante
fama,MG,Fama,8,3,0,111,0,1,Mata Atlântica,111,fama,3.0,17.1,51.3,2017.0,2018.0,MINAS GERAIS,Mata Atlântica,1 UC,,,,,,,,fama,0,1,fama,Área de Proteção Ambiental,0.0,100.0,0,1,Muito_Distante
fartura,SP,Fartura,20,2,6316,174,0,1,Mata Atlântica,6490,fartura,6.0,9.23,55.4,2016.0,2019.0,SÃO PAULO,Mata Atlântica,1 UC,,,,,,,,fartura,0,1,fartura,Área de Proteção Ambiental,0.0,100.0,0,1,Muito_Distante
feijo,AC,Feijó,10,2,11536,170,0,1,Amazônia,11706,feijo,4815.0,40.78,196358.6,2015.0,2019.0,ACRE,Amazônia,1 UC,-8.464559322033898,-70.36025423728813,120.0,52.73081333640434,24.06098377447635,3.0,Amazônia,feijo,0,1,feijo,Floresta,0.0,100.0,0,1,Próximo
feira de santana,BA,Feira de Santana,454,45,501585,4675,3620315,1,Mata Atlântica,506260,feira de santana,18.0,52.78,950.0,2015.0,2019.0,BAHIA,"Mata Atlântica, Caatinga",1 UC,,,,,,,,feira de santana,0,1,feira de santana,Área de Proteção Ambiental,0.0,100.0,0,1,Muito_Distante
fernandes pinheiro,PR,Fernandes Pinheiro,42,2,17011,258,0,3,Mata Atlântica,17269,fernandes pinheiro,26.0,20.31,528.1,2015.0,2019.0,PARANÁ,Mata Atlântica,3-5 UCs,,,,,,,,fernandes pinheiro,2,1,fernandes pinheiro,"Floresta, Reserva Biológica, Estação Ecológica",66.7,33.3,1,1,Muito_Distante
fernando de noronha,PE,Fernando de Noronha,597,76,125670,8062,10355700,2,Área Marinha,133732,,0.0,0.0,0.0,,,,,2 UCs,,,,,,,,fernando de noronha,0,2,fernando de noronha,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Muito_Distante
ferreira gomes,AP,Ferreira Gomes,22,7,12024,0,0,3,Amazônia,12024,ferreira gomes,226.0,38.98,8809.1,2015.0,2019.0,AMAPÁ,Amazônia,3-5 UCs,0.8353999999999999,-51.26219999999999,80.0,64.88240627236189,31.187401165207525,3.0,Amazônia,ferreira gomes,0,3,ferreira gomes,"Floresta, Reserva Particular do Patrimônio Natural",0.0,100.0,0,1,Moderado
floresta,PE,Floresta,9,3,14834,0,0,3,Caatinga,14834,floresta,22.0,99.32,2185.0,2015.0,2019.0,PERNAMBUCO,"Caatinga, Mata Atlântica",3-5 UCs,,,,,,,,floresta,2,1,floresta,"Reserva Biológica, Reserva Particular do Patrimônio Natural, Estação Ecológica",66.7,33.3,1,1,Muito_Distante
